source,target,value
Carlos Paton Blacker,Julian Huxley,1
Carlos Paton Blacker,John Cockroft,1
Carlos Paton Blacker,Charles Galton Darwin,1
Carlos Paton Blacker,Marie Stopes,1
Carlos Paton Blacker,Margaret Pyke,1
Carlos Paton Blacker,Ernest Simon,1
Sydney Brenner,Francis Crick,1
Sydney Brenner,James Watson,1
Sydney Brenner,Seymour Benzer,1
Sydney Brenner,Max Delbrück,1
Sydney Brenner,Salvador Luria,1
Sydney Brenner,François Jacob,1
Sydney Brenner,Linus Pauling,1
Sydney Brenner,Maurice Wilkins,1
Francis Crick,James Watson,1
Francis Crick,Maurice Wilkins,1
Francis Crick,Rosalind Franklin,1
Francis Crick,George Gamow,1
Honor Fell,Edward Abraham,1
Honor Fell,John Randall,1
Honor Fell,AV Hill,1
Honor Fell,Edward Melanby,1
Honor Fell,Thomas Strangeways,1
Malcolm Ferguson-Smith,Victor McKusick,1
Rosalind Franklin,Maurice Wilkins,1
Rosalind Franklin,Aaron Klug,1
Rosalind Franklin,Sydney Brenner,1
Hans Grüneberg,Charlotte Auerbach,1
Hans Grüneberg,J B S Haldane,1
J B S Haldane,Julia Bell,1
J B S Haldane,R A Fisher,1
J B S Haldane,Sewall Wright,1
Peter Medawar,A J Ayer,1
Peter Medawar,Karl Popper,1
Peter Medawar,Leslie Brent,1
Arthur Mourant,Lorca Cavalli-Sforza,1
Arthur Mourant,Robert Race,1
Arthur Mourant,Ruth Sanger,1
Arthur Mourant,Jacqueline du Pré,1
Arthur Mourant,Robin Coombs,1
Lionel Penrose,J B S Haldane,1
Guido Pontecorvo,Alan Roper,1
Guido Pontecorvo,Giuseppe Sermonti,1
Guido Pontecorvo,Hermann Muller,1
Guido Pontecorvo,James Renwick,1
Guido Pontecorvo,Malcolm Ferguson-Smith,1
Robert Race,Ruth Sanger,1
Robert Race,R A Fisher,1
James Renwick,J B S Haldane,1
James Renwick,Lionel Penrose,1
James Renwick,Cedric Smith,1
James Renwick,Victor McKusick,1
James Renwick,Malcolm Ferguson-Smith,1
James Renwick,Robert Race,1
James Renwick,Ruth Sanger,1
James Renwick,Sylvia Lawler,1
Frederick Sanger,Francis Crick,1
James Watson,Maurice Wilkins,1
Maurice Wilkins,John Randall,1
Gerard Wyatt,Seymour Cohen,1
Gerard Wyatt,Roy Markham,1
